tourist_id,segment,budget,max_cost,mobility,max_distance,crowd_aversion,sustainability_sensitivity,outdoor_preference,with_kids,hotel_neighbourhood,current_lat,current_lon,visited,architecture,religious,museum,park,market,food,beach,viewpoint,shopping,nightlife,family,science,local
0,family_friendly,medium,22.702823581956068,transit,8.15270156526897,0.24010347982378363,0.46697608732139506,0.9804086872756165,False,Sants-Montsià,41.387961776257455,2.174850930446384,,0.02357240290613145,0.02357240290613145,0.02357240290613145,0.36453287010485436,0.02357240290613145,0.3761706979276997,0.02357240290613145,0.02357240290613145,0.02357240290613145,0.02357240290613145,0.02357240290613145,0.02357240290613145,0.02357240290613145
1,science_lovers,low,5.372454543504245,transit,8.060063432106315,0.31827732460293157,0.5468139760245719,0.6384113387824645,False,Sant-Gervasi-Campsa,41.3944994309951,2.1781797652449377,,0.024927713778345392,0.024927713778345392,0.3825711995443436,0.024927713778345392,0.024927713778345392,0.024927713778345392,0.024927713778345392,0.024927713778345392,0.024927713778345392,0.024927713778345392,0.024927713778345392,0.3432239488938572,0.024927713778345392
2,food_lovers,high,43.68981263834284,walk,2.2044499952344334,0.6595751469267911,0.2982808188838308,0.6090654291030103,False,Eixample,41.390749976474915,2.173222986635624,,0.024912921116187477,0.024912921116187477,0.024912921116187477,0.024912921116187477,0.38790820776912044,0.3380496599528174,0.024912921116187477,0.024912921116187477,0.024912921116187477,0.024912921116187477,0.024912921116187477,0.024912921116187477,0.024912921116187477
3,religion_fans,medium,9.56332783020985,taxi,14.230007231726358,0.1918448551442067,0.524453022128741,0.3753548584137059,False,Eixample,41.397107115565284,2.170342577490108,,0.044100354721284665,0.4707957433445841,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665,0.044100354721284665
4,religion_fans,low,9.718375150480874,transit,9.067427977902765,0.2525324315831685,0.7352488700927761,0.3402562305892661,False,Poble-sec,41.39806392092315,2.1728281942697816,,0.04324886753733359,0.48101358955199686,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359,0.04324886753733359
5,food_lovers,low,6.027384181853338,walk,3.306827243816498,0.7208584411424916,0.22717093041286343,0.350579820719833,False,Eixample,41.39022544669556,2.1724433045584104,,0.025186676168649814,0.025186676168649814,0.025186676168649814,0.025186676168649814,0.3155243834523443,0.40742217869250774,0.025186676168649814,0.025186676168649814,0.025186676168649814,0.025186676168649814,0.025186676168649814,0.025186676168649814,0.025186676168649814
6,family_friendly,medium,25.67877995997996,bike,5.800783085224681,0.3737613979109667,0.427265578131674,0.7424716977830962,True,Eixample,41.38718739053229,2.1699635062371967,,0.023454836935035188,0.023454836935035188,0.023454836935035188,0.3687864298887536,0.023454836935035188,0.37321036382585937,0.023454836935035188,0.023454836935035188,0.023454836935035188,0.023454836935035188,0.023454836935035188,0.023454836935035188,0.023454836935035188
7,architecture_fans,low,7.977028374898528,transit,11.47365900518419,0.3249226460004882,0.5427853148829402,0.7179520854361707,False,Barceloneta,41.39494933631782,2.1635503423525617,,0.39614663605316763,0.023382640914430385,0.3466443138880982,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385,0.023382640914430385
8,religion_fans,medium,17.528687228737216,bike,5.5114485528277175,0.19177408615994582,0.5147387404608521,0.418211865742407,True,Les Corts,41.392850863271285,2.1738217173106738,,0.04074327338308885,0.5110807194029338,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885,0.04074327338308885
9,food_lovers,high,37.22170721269208,transit,6.473004123834451,0.31454360271451093,0.2132261729517824,0.686914603332294,True,Sant Andreu,41.385333366236274,2.1712525989419613,,0.026145012515606223,0.026145012515606223,0.026145012515606223,0.026145012515606223,0.39522124300419265,0.31718361932413885,0.026145012515606223,0.026145012515606223,0.026145012515606223,0.026145012515606223,0.026145012515606223,0.026145012515606223,0.026145012515606223
